id,created_at,text,,
8.62423E+17,5/10/17 21:45,b'RT @MyInfidelAnna: Well done to the EU for keeping the peace on the European continent \xf0\x9f\x99\x84\xf0\x9f\x99\x84\xf0\x9f\x99\x84 #EuropeDay #MAGA #Brexit https://t.co/ABvIXYhCEW',"[{'text': 'EuropeDay', 'indices': [91, 101]}, {'text': 'MAGA', 'indices': [102, 107]}, {'text': 'Brexit', 'indices': [108, 115]}]","[{'screen_name': 'MyInfidelAnna', 'name': 'Anna The Greek', 'id': 1053437606, 'id_str': '1053437606', 'indices': [3, 17]}]"
8.62423E+17,5/10/17 21:45,"b'RT @LibertyNews1776: With #ComeyFiring, @POTUS is ready to make good on his promise. Ready for a new pant suit @HillaryClinton? \n\n#MAGA @re\xe2\x80\xa6'","[{'text': 'ComeyFiring', 'indices': [26, 38]}, {'text': 'MAGA', 'indices': [130, 135]}]","[{'screen_name': 'LibertyNews1776', 'name': 'Liberty News 1776', 'id': 2723265539, 'id_str': '2723265539', 'indices': [3, 19]}, {'screen_name': 'POTUS', 'name': 'President Trump', 'id': 822215679726100480, 'id_str': '822215679726100480', 'indices': [40, 46]}, {'screen_name': 'HillaryClinton', 'name': 'Hillary Clinton', 'id': 1339835893, 'id_str': '1339835893', 'indices': [111, 126]}]"
8.62423E+17,5/10/17 21:45,b'RT @SandraTXAS: 24 hours later and Democrat STILL foaming at the mouth \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 #ComeyFiring\n#MAGA\n#Trump',"[{'text': 'ComeyFiring', 'indices': [75, 87]}, {'text': 'MAGA', 'indices': [88, 93]}, {'text': 'Trump', 'indices': [94, 100]}]","[{'screen_name': 'SandraTXAS', 'name': 'Õèá—©á‘_á—ªá–‡á—© Ù†', 'id': 33529092, 'id_str': '33529092', 'indices': [3, 14]}]"
8.62423E+17,5/10/17 21:45,b'RT @GeorgiaDirtRoad: .@SarahHuckabee needs to be Press Secretary! \n\n#LovedIt #YoureHired #MAGA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\nhttps://t.co/w4RQeGqwvJ',"[{'text': 'LovedIt', 'indices': [68, 76]}, {'text': 'YoureHired', 'indices': [77, 88]}, {'text': 'MAGA', 'indices': [89, 94]}]","[{'screen_name': 'GeorgiaDirtRoad', 'name': 'Shannon _Ÿ‡º_Ÿ‡¸_ŸŒ_', 'id': 806579094729224192, 'id_str': '806579094729224192', 'indices': [3, 19]}, {'screen_name': 'SarahHuckabee', 'name': 'Sarah Huckabee', 'id': 5509762, 'id_str': '5509762', 'indices': [22, 36]}]"
8.62423E+17,5/10/17 21:45,b'RT @Mrs_TxWolf: @primal1screams @Rtfighter_MAGA @oinc2islam @gunluvngal @ColoradoGirl2A @CajunJarhead @thro_e @missingdelta @sharon4marie @\xe2\x80\xa6',[],"[{'screen_name': 'Mrs_TxWolf', 'name': 'Jennifer Jo (JJ)', 'id': 571248847, 'id_str': '571248847', 'indices': [3, 14]}, {'screen_name': 'primal1screams', 'name': 'Primal1Screams', 'id': 314459108, 'id_str': '314459108', 'indices': [16, 31]}, {'screen_name': 'Rtfighter_MAGA', 'name': 'Noliblove', 'id': 799612683276324865, 'id_str': '799612683276324865', 'indices': [32, 47]}, {'screen_name': 'oinc2islam', 'name': '_Ÿ–•OINC_Ÿ–•', 'id': 3306173819, 'id_str': '3306173819', 'indices': [48, 59]}, {'screen_name': 'gunluvngal', 'name': 'Lisa  Rose', 'id': 993682698, 'id_str': '993682698', 'indices': [60, 71]}, {'screen_name': 'ColoradoGirl2A', 'name': 'ColoradoGirl', 'id': 796403983476736000, 'id_str': '796403983476736000', 'indices': [72, 87]}, {'screen_name': 'CajunJarhead', 'name': 'â_œ Cajun Marine â˜ ', 'id': 25974930, 'id_str': '25974930', 'indices': [88, 101]}, {'screen_name': 'thro_e', 'name': 'â_“ï¸èSkipperâ_“ï¸è', 'id': 726430582675111936, 'id_str': '726430582675111936', 'indices': [102, 109]}, {'screen_name': 'missingdelta', 'name': 'Jill', 'id': 264204589, 'id_str': '264204589', 'indices': [110, 123]}, {'screen_name': 'sharon4marie', 'name': 'Sharon4Veterans', 'id': 2632757957, 'id_str': '2632757957', 'indices': [124, 137]}]"
8.62423E+17,5/10/17 21:45,"b""RT @_redhaze_: POLL: Are you pleased with Trump's firing of Comey? https://t.co/UPdNLHrxZe via @realDennisLynch #MAGA #PJNET #RedNationRisi\xe2\x80\xa6""","[{'text': 'MAGA', 'indices': [112, 117]}, {'text': 'PJNET', 'indices': [118, 124]}]","[{'screen_name': '_redhaze_', 'name': 'M.Furman', 'id': 935457662, 'id_str': '935457662', 'indices': [3, 13]}, {'screen_name': 'realDennisLynch', 'name': 'Dennis Michael Lynch', 'id': 4183248796, 'id_str': '4183248796', 'indices': [95, 111]}]"
8.62423E+17,5/10/17 21:45,b'RT @GeorgiaDirtRoad: .@SarahHuckabee needs to be Press Secretary! \n\n#LovedIt #YoureHired #MAGA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\nhttps://t.co/w4RQeGqwvJ',"[{'text': 'LovedIt', 'indices': [68, 76]}, {'text': 'YoureHired', 'indices': [77, 88]}, {'text': 'MAGA', 'indices': [89, 94]}]","[{'screen_name': 'GeorgiaDirtRoad', 'name': 'Shannon _Ÿ‡º_Ÿ‡¸_ŸŒ_', 'id': 806579094729224192, 'id_str': '806579094729224192', 'indices': [3, 19]}, {'screen_name': 'SarahHuckabee', 'name': 'Sarah Huckabee', 'id': 5509762, 'id_str': '5509762', 'indices': [22, 36]}]"
8.62423E+17,5/10/17 21:45,b'RT @AD_WHITMAN: Sarah Huckabee Sanders called out Democrats for hypocrisy.\n#ComeyFiring\n\n#MAGA\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\n https://t.co/jIZjUz8NsI',"[{'text': 'ComeyFiring', 'indices': [75, 87]}, {'text': 'MAGA', 'indices': [89, 94]}]","[{'screen_name': 'AD_WHITMAN', 'name': '1stAmend UNLEASHED', 'id': 735633664696946689, 'id_str': '735633664696946689', 'indices': [3, 14]}]"
8.62423E+17,5/10/17 21:45,b'RT @McFaul: This really happened? Embarrassing. America first? #Maga ? Putin would never do that. https://t.co/zg3bDwPMrW',"[{'text': 'Maga', 'indices': [63, 68]}]","[{'screen_name': 'McFaul', 'name': 'Michael McFaul', 'id': 454099919, 'id_str': '454099919', 'indices': [3, 10]}]"
8.62423E+17,5/10/17 21:45,"b'RT @bfraser747: ""The elite media and the hard-left are desperate to avoid the reality that Donald #Trump won."" ~ @newtgingrich \n\n#Comet #MA\xe2\x80\xa6'","[{'text': 'Trump', 'indices': [98, 104]}, {'text': 'Comet', 'indices': [129, 135]}]","[{'screen_name': 'bfraser747', 'name': 'BRIAN FRASER', 'id': 274891222, 'id_str': '274891222', 'indices': [3, 14]}, {'screen_name': 'newtgingrich', 'name': 'Newt Gingrich', 'id': 20713061, 'id_str': '20713061', 'indices': [113, 126]}]"
