text,sentiment
Just got 100 subscribers!!!  I couldn't have done it without @SEZrules!!,1
"i have a headache  and i have youth 2nite, ohh nooo i dont want to be down in the dumps 4 youth =[",0
Taking Caroline to her PCP today. It appears she caught what I have/had. ,0
"@MrsStephenFry Morning Mrs F, I generally find that the kids make their appearance right at the mosst inopportune moment ",0
"@peterfacinelli @211me hey guys, the link to enter for the chair doesn't work  i get a 'page cannot be displayed'!",0
Heading to church and a wedding  Great day!!,1
"@HarleyRodrigue hey Harley, I hope you stay around and not let the haters get the best of you!  people suck!",0
@rjlrebo I went to the Oregon coast yesterday! Have fun at the Cali coast this afternoon! ,1
Only ten more minutes and I can go HOME! ,1
Oh god seriously drunk ,1
@obnoxiotheclown 2 or 4 wheels on that penis extension? ,1
@myblackberry yep ,1
@JustJen47 sorry I missed you last night!  ,0
@LoBosworth good morning hope you day brings you a smile or two  you deserve it,1
Jus woke up from a Fabulous nap in this CRAZI london heat !! ,1
@FifthGearTV can I park my Ferrari 355 (see my profile pic) with a sweet sounding exhaust in the #fantasygarage ?   thanks,1
@DeeBrownMan its a beautiful sunday for it!  great day 2 chill.,1
@AIPChristina thanks ,0
early morning work meeting  we don't even open till 12,0
"pepper, PEPPER. WHY DID I THINK THAT WAS A GOOD IDEA? @p  @h well done boy, hydrant ftw",0
@slinqui - Out of your new presents! Oh... now I'm curious. I mean both. New and overall. ,1
Omg I can't open links on my twitter. Ohs nos ,0
@stephanosis thank you ,1
Ugh! I had to get a stupid mouthpiece for my jaw problems.  I can't even talk and sound right with it in... ,0
"Totally ready for the weekend.  Aww nuts, it's only Tuesday... ",0
@amykayodt I tried to put Bev's pic up on her page for her and it didn't work!    It was the one you sent me....why can't she have a pic?,0
Grammer and punctuation ain't doing so good either...I'm going to fail the english test next week ,0
just got an iPhone Touch ,1
back to school   staying of today to do coursework  ROME RESULTS TOMORROW!! AHHHHH!,0
"Relaxing, listening to music, home alone, the perfect way to spend a half term ",1
Pray for my friend @growline late work...pray it all goes well...with energy from our Lord!!  God is Good! #worldprayer,1
getting off. going to bed. falling alseep and dreaming of random things that i won't remember tomorrow. ,1
"omg, ENT PLZ.  anddd, i haven't ever been this confused about guys in my life. so weird and sucky.",0
@invalleys Goooood morning ,1
ughhhhhhhhhhhh  :/,0
@lupilups ahhhhhhh damn i need the lyrics xD weee me voi a MEX el 18  vas???? xD,1
@toomanybarriers I know right? I miss those days *so* much! *bawls* ,0
"EVERYONE HAS A VOICE,EVERYONE CAN SPEAK UP FOR THEMSELVES!WE WANT FREEDOM!!  R.I.P ---&gt; http://bit.ly/BguyU  #iranElection #iran #Tehran",0
@VioletKanian why you can't go?? ,0
@TrinaShantae Well when u get a chance check it out ,1
Nice guys finish last...nice girls finish last too ,0
@sableheart omg!! that sounds serious!! hope you can get well soon ,0
"You know what, I have decided on two songs of the day tomorrow ",1
"But _____'s mom loves me, so she'll quit ",1
@imnatearchibald nathanieeeel jux geeet on fooor me ur gf  me misses u &amp;&amp; lets not forget that i miss urr kisses &amp;&amp; i luvv u soo muchh &lt;33,0
Loving the MTV Movie Award ,1
@Youtube is still not letting me accept friend invites! Sorry guys ,0
(@twilightfan2326) Everything seems totally off today...I need a hug and somebody to talk to  &lt;3Team Edward&lt;3,0
sunday  last day of half term...i finnish skwl totally on may 15th then all hav to do is go on for examz...dreadin results in summer tho!,0
@tommcfly Why did he have to kiss her?? And I wish if he did have to kiss her it was me ,1
Talking to quarry my new best guy friend! Awsome person! Knows what to say just to make everything go right! ,1
"@MsJuicy313 I know!  I'm not hurtin anymore tho! Yesterday really did murder it! And I don't know, he trying to make a comeback :-/",0
at michelle and jennys house in pasadena. with james and megan. i feel shitty ,0
"@DavidArchie Thats gotta be fun. I've been to my lil bro's 5th grade promotion, and it was a BLAST! I gotta chance to sing &quot;crush&quot; there ",1
Laying I'm bed falling asleep  and txtin space boy,1
@marcszablewski it's all sunny and it's not raining here anymore ,0
"tired but ready to go up to Laurel Ridge, and to see Brittany ",1
@tayl0rmichael i know. But you messed up silly ,1
Im so confused ,0
@oh_clarissa Oh wtf.. i went for friendly fires and didnt win  bullshit.,0
@paulorpauly ya man i can give you a few tips ,1
"writing TopCoder SRM , final warmup ",1
"Going to Deventer in Holland today for a road trip, should be fun, another reason to take some more nice photos ",1
@whitneyshores I do not think Cammie Snowden is overhyped. ,1
something smells good ,1
@Blondieningirl I know it doesn't haha.  *evil laugh*,1
@Chipmunkartist i absolutely love your diamond rings song!! and now i understand why you wanted flawless to win BGT lol! please reply  xx,1
"@elyxxe Dear Elyse, you're spamming my Twitter inbox. Please stop. Regards, Rohan ",1
"@miznyx Oh, it was fun, and the brass was neat ... but so far no gold coins or gold bars! Heck, we'd settle for silver coins and bars ",0
Be a new video up tonight. But the 2 bad things are I still have. Cold and I don't have a SciPhone ,0
@L0Lcakes people are now saying the GOMtv notice was a fake  T_T.,0
aw man!!! i missed Terry aka @BlueLightTech on @AC_1's radio show today!  ,0
Failure! All my travelling and I can't go to Rhon's party anymore! ,0
A picture of my baby at Brother's burgers!   http://twitpic.com/7g50j,1
@paulaabdul We just got broken into AGAIN  this week is horribl for me :'(,0
"@jongalloway Unfortunately , the answer to that has been proven in previous battles.  You dont NEED them, but some folks apparently do.",0
@lizshore no not yet. Was just thinking about food. Got the munchies ,1
@juam looks interesting  +1,1
aand the lack of responses just makes me realize how friendless in new york i am ,0
im going to bed ...srry cassandra but i was bored so i started to text you that haha i love you ,1
still playing it ,0
listening to the mikey show always brightens up my morning ,1
WOW! TEXAS LONGHORNS'BASEBALL GAME LASTED 25 INNINGS AND 7:30 HOURS!!! longest game in ncaa history! And they won as well!!! ,1
@seanmoneynyc  you can watch me.. ,1
feels so bad  can't sleep... hopefully tomorrow's gonna be a good one... http://plurk.com/p/yy2vv,0
fuckk i have to wait til 1 to get 3.0 ,0
"@moymoy1214 I don't, but I wish I did ",0
"@iyonius No, but it's quite good idea!  thanks",1
I feel really horrible &amp; akward dancing around in the kitchen  I seem to have lost my dancing skillz ,0
@StewartKris  awesome ,1
I know I'm stressed to the max if I am craving a Flake bar and a cigarette. Both of which I can't have ,0
In Ukraine. Goal for the next few days - a 20x ROI on this effort. Achievable? -hell yeah ,1
"@wmhsrebelmom Yea, back when i was a baby like you, that's what i thought.  Not so much anymore ",0
"last day in the @ourstage office. kinda sad   to put it like @mikesplain, maybe i'll be there digitally.",0
"@alexandrastack i like fantasy movies, bout fairytale, pricesses, or movies bout teenage life ",1
@chillybreck OMG that's a long day  Will wave to you later as I take son to cinema. Will stop off &amp; stock up (cinema way too expensive),0
@greeneash whatttt? haha sorry i had to. your gorgeous btw ,1
@LordGU I dunno too much coffee me thinks ,1
"Working. Will be in Gothenburg in 3 hours, working, and then finally barbeque and party ",1
@Ananai We did already!!! hahaha ,1
@TorreyLaffoon it wasn't either of our day ,0
Camping has ended prematurely due to rain ,0
I just want to see my commercial  !!!!,0
@jcg1483 bad lighting ,0
Napped ont he couch...and now I'm cold.  ,0
will be twittering from the SI Conference in College Station tomorrow...not that anyone but SI people care... ,1
I just dropped and scratched my phone for the first time... ,0
@DawnRichard I Loved u before u made the band and I will continue to Love You NO MATTER WHAT! (no homo) ,1
is playing mafia and having a cocktail! ,1
Mom's in the hospital. she's in surgery right now  getting ready to go see her in an hour.,0
@OfficerAnni You should get one and come along to our party ,1
"@JKsNaughtygirl It was freaking awesome!  Sorry for delay, just getting used to this thing!  ",1
not feeling well. ,0
@dekrazee1 re information:  of course they do.  It's an excuse to do the job half-arsed and be shitty to other people ,1
Do I tweet too much?  darrrrn! @David_Henrie DAAAAVID HENRIEEEEE! &lt;3,0
Change of plans! G started puking on the way to church. Turned around and came home. No Luau today. ,0
"I just give up on you, this is not gonna work ",0
@mkapor 1 adult parenting 200 kids - sounds like a very high growth potential ,1
Another beautiful day in Brighton and the sun makes my creativity flow....just a quick cup of green tea b4 I hit the decks ,1
@MrChrisThompson you are perfect. and i love you lots and lots and lots ,1
@szafryk  I bought 1 for my bedroom toilet thinking it would keep it cleaner. My bedroom smelled like an arena bathroom for over a month. ,0
@dannygokey im so upset u were at US weekly my uncle works there but he apparently didnt know how big of a fan i am! ,0
Not a happy camper right now. I am such a bitch - why does he put up with me? I have no appreciative qualities and am stubborn as hell. ,0
@ikki_oo how has your weekend been? ,1
